id,lat,lon,name
12480575699,-12.8098107,28.2250824,Progress Medical Center
12488495186,-12.8938632,27.3701529,St Marys First Level Hospital
12533430196,-12.587098,28.2694539,Kawama East Mini Hospital
12565110478,-16.4178491,23.3045079,Nangweshi Mini Hospital
12578448722,-14.7115261,24.7202696,Kazabami Mini Hospital
12620037249,-16.8950356,26.9977398,NaN
12860535397,-15.4036555,28.2868697,DNA Hub Africa
13120127067,-14.4135508,23.2593387,Lukulu District Hospital
13120725310,-14.3761578,23.2377577,Old Lukulu District Hospital
13122916000,-16.5208596,27.3666993,Pemba Mini Hospital
13122916001,-16.5203222,27.3654252,Pemba District Hospital
13420363401,-17.2639573,24.3844557,chisu clinic
2473611357,-15.4080123,28.6914869,Kabeleka Clinic
3590723689,-10.665733,28.9616563,Mutwe-Wankoko Health Post
3590765011,-10.712748,29.0614452,Chisunka RHC Clinic Outreach Assembly Point
3743232285,-13.0719522,30.6281167,Kanona Rural Health Post
4208998446,-13.0094866,28.6202,Lubuto Clinic
4323038295,-17.2686915,26.1275074,Munkolo Rural Health Clinic
4427485792,-15.4085214,28.2949303,Advanced Diagnostic Centre
4434365191,-15.3816577,28.2634441,matero clinic
4434404689,-15.4616456,28.2832627,Chawama Clinic
4434404789,-15.3680613,28.3832364,Chelstone Clinic
4434727190,-15.5228604,28.3020599,lilayi clinic
4470157590,-15.414212,28.2929249,Dr Agarwal's Eye Hospital
4613944589,-12.798715,32.933676,Ndaiwala Rural Health Centre
4620376492,-12.7950434,28.2087909,Buchi Main Urban Health Centre
4648712389,-12.6575589,32.9404148,Mwimba Rural Health Center
4725939967,-15.4312607,28.2618615,Clinic For Natural Medicine
4727643883,-15.4312077,28.2618374,Clinic For Natural Medicine
4738115281,-16.5945115,26.8672383,NaN
4775203360,-15.4262723,28.2352862,Kanyama West Clinic
4789494024,-14.983304,27.0649,Mumbwa Urban Clinic
4790146923,-15.4374543,28.2498,Kamoto Medical Clinic
4793334843,-15.4232895,28.2465889,Mupone Maternity Clinic
4901714535,-14.898299,30.3947646,St. Josephs Rural Health Centre
4904767222,-12.4243541,32.2876004,Chitungulu Rural Health Centre
4952406124,-15.406586,28.3026723,NaN
4952406322,-13.641312,32.6382489,Chipata One Stop Centre
5087958425,-15.4395635,28.3249522,Camp Hospital
5148061921,-15.4109865,28.2812956,Corp Med Clinic
5193427922,-14.0662453,32.0477593,Chibolya Health Centre
5245373025,-16.2767374,27.4750375,Monze Urban Clinic
5279155722,-15.7822979,28.1818549,Nangongwe District Medical Office
5279185421,-15.7360223,28.1741635,Kafue One Stop Centre
6295068332,-15.158837,28.4822732,Chaminuka clinic
6313987780,-12.2994815,33.1779566,Lundazi Urban Health Centre
6403515685,-9.9335161,31.2544723,Nseluka Clinic
6449416585,-13.589765,29.5786318,Nkolonga health post
6480790285,-13.3215013,28.4154689,Masaiti Boma Rural Health Centre
6509364085,-14.455364,28.426315,Kasanda Clinic
6877662587,-17.6936507,26.8640845,NaN
